ID	Type	-log(pval)	residual_expression	size	Cox
ACP5	TG	0	1.7457	0.37324	0
ASF1B	TG	0	0.75481	0.16138	0
AURKB	TG	0	0.61438	0.13135	0.2101
BIRC5	TG	0	0.91228	0.19504	0.2032
CCNB1	TG	0	0.52472	0.11218	0.2109
CCND1	TG	0	1.051	0.22469	0
CDCA7	TG	0	0.89312	0.19095	0
CDK1	TG	0	0.78791	0.16845	0
CDK2	TG	0	2.1347	0.4564	0.218
CDK4	TG	0	1.1018	0.23557	0.2359
CDKN2A	TG	0	0.42973	0.091876	0
CHEK2	TG	0	0.44622	0.0954	0
CTNNB1	TG	0	0.90927	0.1944	0
CTSK	TG	0	2.9709	0.63516	0
DCT	TG	0	4.6773	1	0
E2F1	TF	5.2853	0	0	0
E2F6	TG	0	0.51129	0.10931	0
EBNA1BP2	TG	0	1.2729	0.27213	0
ERCC1	TG	0	0.62154	0.13288	0
GPNMB	TG	0	1.6938	0.36213	0
HMGA1	TG	0	0.72542	0.15509	0
HSPA4	TG	0	0.89357	0.19104	0
ISYNA1	TG	0	1.3967	0.29861	0.2052
KIF2C	TG	0	0.51793	0.11073	0
KIT	TG	0	2.52	0.53876	0.3214
LEF1	TF	3.4962	0	0	0
MCM5	TG	0	0.6911	0.14776	0
MITF	TF	Inf	1.9448	NaN	0
MLANA	TG	0	2.2546	0.48204	0
MYC	TF	3.0762	1.8688	0.39955	0
MYH10	TG	0	0.73493	0.15713	0.2079
OCA2	TG	0	1.2901	0.27582	0.3038
PCNA	TG	0	1.2192	0.26067	0
PIN1	TG	0	0.53764	0.11495	0
PMEL	TG	0	3.4758	0.74312	0.2765
PRDX3	TG	0	1.2072	0.2581	0
RACGAP1	TG	0	0.58936	0.126	0
RCC1	TG	0	0.88383	0.18896	0.2228
RPA2	TG	0	0.5988	0.12802	0
RRM1	TG	0	0.53459	0.1143	0
RRP1B	TG	0	0.51799	0.11074	0
SIVA1	TG	0	0.56785	0.12141	0
SNAI2	TG	0	2.3694	0.50657	0
ST3GAL4	TG	0	1.2087	0.25843	0
TFEB	TF	3.6392	0	0	0
TK1	TG	0	1.2144	0.25965	0
TOP1MT	TG	0	0.96377	0.20605	0
TRPM1	TG	0	2.1524	0.46018	0.188
TYMS	TG	0	1.2582	0.26901	0
TYR	TG	0	1.9459	0.41603	0
TYRP1	TG	0	2.8505	0.60942	0.2422
UBE2C	TG	0	0.89126	0.19055	0.1981
UHRF1	TG	0	0.82663	0.17673	0
XRCC1	TG	0	0.46249	0.098879	0
